Wordform	Lemma	POS	Gram
смогли	смочь	V	past,pl
пройти	пройти	V	inf
диспансеризацию	диспансеризация	S	f,acc,sg
,			
а	а	CONJ	
60	@card@		
миллионам	миллион	S	m,dat,pl
были	быть	V	past,pl
сделаны	сделать	V	partcp,pass,past,pl,nom,brev
прививки	прививка	S	f,gen,sg
.			
Оба	оба		
работают	работать	V	pres,3p,pl
на	на	PR	
влиятельную	влиятельный	A	sg,f,acc
и	и	CONJ	
известную	известный	A	sg,f,acc
адвокатскую	адвокатскую	A	sg,f,acc
контору	контора	S	f,acc,sg
«			
Bullie	Bullie		
Brake			
&			
Desmay	Desmay	S	m,nom,sg
»			
и	и	CONJ	
успешно	успешно	ADV	
продвигаются	продвигаться	V	pres,3p,pl
по	по	PR	
служебной	служебный	A	sg,f,dat
лестнице	лестница	S	f,dat,sg
.			
Некоторые	некоторые	A	pl,m,nom
люди	человек	S	m,nom,pl
испытывают	испытывать	V	pres,3p,pl
панические	панический	A	pl,m,acc
атаки	атака	S	f,acc,pl
,			
которые	который	APRO	nom,pl
характеризуются	характеризоваться	V	pres,3p,pl
чрезвычайно	чрезвычайно	ADV	
сильным	сильный	A	sg,m,ins
чувством	чувство	S	n,ins,sg
страха	страх	S	m,gen,sg
.			
Они	они	SPRO	3p,nom,pl
отнюдь	отнюдь	ADV	
не	не	PART	
редки	редкий	A	pl,brev
.			
К	к	PR	
третьей	третий	ANUM	f,sg
неделе	неделя	S	f,loc,sg
пациенты	пациент	S	m,nom,pl
показывали	показывать	V	past,pl
заметное	заметный	A	sg,n,acc
улучшение	улучшение	S	n,acc,sg
настроения	настроение	S	n,gen,sg
в	в	PR	
отличие	отличие	S	n,acc,sg
от	от	PR	
принимавших	принимать	V	partcp,act,past,pl,gen
плацебо	плацебо	S	n,acc,sg
.			
Высокий	высокий	A	sg,m,nom
уровень	уровень	S	m,nom,sg
эстрогена	эстроген	S	m,gen,sg
и	и	CONJ	
низкий	низкий	A	sg,m,acc
прогестерона	прогестерон	S	m,gen,sg
могут	мочь	V	pres,3p,pl
привести	привести	V	inf
к	к	PR	
предменструальному	предменструальному	A	sg,m,dat
синдрому	синдром	S	m,dat,sg
(			
ПМС	ПМС	S	m,dat,sg
)			
с	с	PR	
цикличной	цикличной	A	sg,f,ins
депрессией	депрессия	S	f,ins,sg
и	и	CONJ	
беспокойством	беспокойство	S	n,ins,sg
.			
Иногда	иногда	ADV	
колебания	колебание	S	n,nom,pl
настроения	настроение	S	n,nom,pl
и	и	CONJ	
депрессия	депрессия	S	f,nom,sg
могут	мочь	V	pres,3p,pl
быть	быть	V	inf
результатом	результат	S	m,ins,sg
слишком	слишком	ADV	
большого	большой	A	sg,m,gen
стресса	стресс	S	m,gen,sg
и	и	CONJ	
истощения	истощение	S	n,gen,sg
надпочечников	надпочечник	S	m,gen,pl
.			
Первое	первый	ANUM	n,sg
описание	описание	S	n,nom,sg
этого	это	SPRO	n,gen,sg
члена	член	S	m,gen,sg
семейства	семейство	S	n,gen,sg
перечных	перечных	A	pl,m,gen
появилось	появиться	V	past,n,sg
в	в	PR	
западных	западный	A	pl,m,loc
странах	страна	S	f,loc,pl
после	после	PR	
знаменитых	знаменитый	A	pl,m,gen
рейдов	рейд	S	m,gen,pl
капитана	капитан	S	m,gen,sg
Джеймса	Джеймс	S	m,gen,sg
Кука	Кук	S	m,gen,sg
в	в	PR	
Южные	южный	A	pl,m,acc
моря	море	S	n,acc,pl
.			
Согласно	согласно	PR	
данным	данные	S	m,dat,pl
Национального	национальный	A	sg,m,gen
аутистического	аутистического	S	m,gen,sg
общества	общество	S	n,gen,sg
частота	частота	S	f,nom,sg
аутизма	аутизма	S	m,gen,sg
сейчас	сейчас	ADVPRO	
может	мочь	V	pres,3p,sg
превышать	превышать	V	inf
1	1		
случай	случай	S	m,nom,sg
на	на	PR	
каждые	каждый	APRO	acc,pl
100	@card@		
детей	дитя	S	n,gen,pl
.			
Конечная	конечный	A	sg,f,nom
цель	цель	S	f,nom,sg
математики	математика	S	f,gen,sg
—			
вообще	вообще	ADV	
избавиться	избавиться	V	inf
от	от	PR	
необходимости	необходимость	S	f,gen,sg
о	о	PR	
чем-либо	что-либо	SPRO	n,loc,sg
думать	думать	V	inf
.			
В	в	PR	
том-то	то-то	SPRO	n,loc,sg
и	и	CONJ	
дело	дело	S	n,nom,sg
,			
что	что	CONJ	
,			
кроме	кроме	PR	
действительных	действительный	A	pl,m,gen
чисел	число	S	n,gen,pl
,			
достаточно	достаточно	ADV	
изобрести	изобрести	V	inf
только	только	PART	
одно	один	ANUM	n
число	число	S	n,nom,sg
—			
квадратный	квадратный	A	sg,m,nom
корень	корень	S	m,nom,sg
из	из	PR	
—			
1	1		
,			
после	после	PR	
этого	это	SPRO	n,gen,sg
можно	можно	ADV	
решить	решить	V	inf
любое	любой	APRO	n,acc,sg
алгебраическое	алгебраический	A	sg,n,acc
уравнение	уравнение	S	n,acc,sg
]			
Возможные	возможный	A	pl,m,nom
состояния	состояние	S	n,nom,pl
электронов	электрон	S	m,gen,pl
определяются	определяться	V	pres,3p,pl
различными	различный	A	pl,m,ins
энергетическими	энергетический	A	pl,m,ins
подуровнями	подуровнями	S	f,ins,pl
,			
которые	который	APRO	nom,pl
носят	носить	V	pres,3p,pl
название	название	S	n,acc,sg
орбиталей	орбиталей	S	m,gen,pl
.			
Указанный	указать	V	partcp,pass,past,sg,m,nom
выше	высокий	A	sg,m,nom,comp
вызов	вызов	S	m,acc,sg
функции	функция	S	f,gen,sg
вернет	вернуть	V	fut,3p,sg
все	все	ADV	
SNMP	SNMP		
объекты	объект	S	m,acc,pl
из	из	PR	
SNMP	SNMP		
агента	агент	S	m,gen,sg
,			
напущенного	напущенного	V	partcp,pass,past,sg,m,gen
на	на	PR	
локальном	локальный	A	sg,m,loc
хосте	хосте	S	m,loc,sg
.			
Эта	этот	APRO	f,nom,sg
группа	группа	S	f,nom,sg
включает	включать	V	pres,3p,sg
щелочные	щелочной	A	pl,m,acc
металлы	металл	S	m,acc,pl
натрий	натрий	S	m,nom,sg
(			
Na			
)			
и	и	CONJ	
калий	калий	S	m,nom,sg
(			
К			
)			
,			
щелочноземельные	щелочноземельные	A	pl,m,nom
металлы	металл	S	m,nom,pl
магний	магний	S	m,nom,sg
(			
Мg	Мg	S	m,nom,sg
)			
и	и	CONJ	
кальций	кальций	S	m,nom,sg
(			
Са	Са	V	past,m,sg
)			
.			
Это	это	SPRO	n,nom,sg
сразу	сразу	ADV	
говорит	говорить	V	pres,3p,sg
нам	мы	SPRO	1p,dat,pl
,			
что	что	CONJ	
такое	такой	APRO	n,nom,sg
момент	момент	S	m,acc,sg
количественно	количественно	ADV	
.			
Собачка	собачка	S	f,nom,sg
нужна	нужный	A	sg,f,nom,brev
к	к	PR	
празднику	праздник	S	m,dat,sg
!			
Он	он	SPRO	3p,m,nom,sg
полагал	полагать	V	past,m,sg
,			
что	что	CONJ	
римлян	римлянин	S	m,gen,pl
сгубило	сгубило	V	past,n,sg
избыточное	избыточный	A	sg,n,nom
честолюбие	честолюбие	S	n,acc,sg
.			
ЕНЛ-1	ЕНЛ-1		
получают	получать	V	pres,3p,pl
общенациональные	общенациональный	A	pl,m,nom
и	и	CONJ	
крупные	крупный	A	pl,m,nom
региональные	региональный	A	pl,m,nom
газеты	газета	S	f,nom,pl
и	и	CONJ	
телекомпании	телекомпания	S	f,nom,pl
,			
агентства	агентство	S	n,nom,pl
,			
иностранные	иностранный	A	pl,m,acc
дипломатические	дипломатический	A	pl,m,acc
представительства	представительство	S	n,acc,pl
в	в	PR	
России	Россия	S	f,loc,sg
.			
Телевизионные	телевизионный	A	pl,m,nom
Web-технологии	Web-технологии	S	f,nom,pl
развиваются	развиваться	V	pres,3p,pl
в	в	PR	
нашей	наш	APRO	f,loc,sg
стране	страна	S	f,loc,sg
с	с	PR	
некоторым	некоторый	APRO	n,ins,sg
опозданием	опоздание	S	n,ins,sg
.			
Недели	неделя	S	f,gen,sg
через	через	PR	
две-три	два-три		
,			
не	не	PART	
раньше	ранний	A	sg,m,nom,comp
.			
Такой	такой	APRO	m,nom,sg
птицы	птица	S	f,nom,pl
не	не	PART	
водилось	водиться	V	past,n,sg
в	в	PR	
здешних	здешний	A	pl,m,loc
местах	место	S	n,loc,pl
.			
Здесь	здесь	ADVPRO	
он	он	SPRO	3p,m,nom,sg
не	не	PART	
отказал	отказать	V	past,m,sg
себе	себя	SPRO	dat
в	в	PR	
удовольствии	удовольствие	S	n,loc,sg
заранее	заранее	ADV	
злорадно	злорадно	ADV	
вообразить	вообразить	V	inf
,			
как	как	ADVPRO	
будет	быть	V	fut,3p,sg
сходить	сходить	V	inf
со	со	PR	
сцены	сцена	S	f,gen,sg
премьер	премьер	S	m,nom,sg
Борзых	Борзых	S	m,gen,sg
.			
Булькнуло	булькнуть	V	past,n,sg
,			
екнуло	екнуть	V	past,n,sg
,			
порскнуло	порскнуло	V	past,n,sg
,			
ахнуло	ахнуть	V	past,n,sg
-			
лучше	лучше	ADV	
гляди	глядеть	V	imper,2p,sg
!			
-			
сзади	сзади	ADV	
,			
наверху	наверху	ADV	
,			
вниз	вниз	ADV	
головой	голова	S	f,ins,sg
,			
пропало	пропасть	V	past,n,sg
,			
нету	нету	ADV	
!			
И			
Пэт	Пэт	S	m,nom,sg
выла	выть	V	past,f,sg
от	от	PR	
злости	злость	S	f,gen,sg
:			
ее	ее	APRO	
Грегори	Грегори	S	m,nom,sg
--			
ее	ее	APRO	
лучезарный	лучезарный	A	sg,m,nom
муж	муж	S	m,nom,sg
--			
был	быть	V	past,m,sg
тоже	тоже	PART	
во	во	PR	
власти	власть	S	f,loc,sg
этого	этот	APRO	m,gen,sg
всемогущего	всемогущий	A	sg,m,gen
микрооргазма	микрооргазма	S	m,gen,sg
.			
Он	он	SPRO	3p,m,nom,sg
засыпал	засыпать	V	past,m,sg
,			
ухватившись	ухватиться	V	ger,past
за	за	PR	
ее	она	SPRO	3p,f,acc,sg
пальцы	палец	S	m,acc,pl
,			
и	и	CONJ	
,			
оставляя	оставлять	V	ger,pres
его	его	APRO	
,			
надо	надо	ADV	
было	быть	V	past,n,sg
с	с	PR	
величайшей	величайший	A	sg,f,ins
осторожностью	осторожность	S	f,ins,sg
высвобождать	высвобождать	V	inf
руку	рука	S	f,acc,sg
,			
чтобы	чтобы	CONJ	
он	он	SPRO	3p,m,nom,sg
не	не	PART	
проснулся	проснуться	V	past,m,sg
с	с	PR	
криком	крик	S	m,ins,sg
ужаса	ужас	S	m,gen,sg
.			
--			
Хотел	хотеть	V	past,m,sg
бы	бы	PART	
добавить	добавить	V	inf
разумное	разумный	A	sg,n,nom
:			
как	как	CONJ	
может	мочь	V	pres,3p,sg
инженер	инженер	S	m,nom,sg
что-нибудь	что-нибудь	SPRO	n,acc,sg
портить	портить	V	inf
?			
Не	не	PART	
сотвори	сотворить	V	imper,2p,sg
себе	себя	SPRO	dat
кумира	кумир	S	m,gen,sg
,			
Но	но	CONJ	
лишь	лишь	PART	
люби	любить	V	imper,2p,sg
,			
как	как	CONJ	
Я	я	SPRO	1p,nom,sg
люблю	любить	V	pres,1p,sg
--			
В	в	PR	
твоем	твой	APRO	n,loc,sg
подобье	подобье	S	n,loc,sg
--			
Образ	образ	S	m,nom,sg
Мира	мир	S	m,gen,sg
,			
И	и	CONJ	
не	не	PART	
скорби	скорбь	S	f,gen,sg
,			
как	как	CONJ	
Я	я	SPRO	1p,nom,sg
скорблю	скорбеть	V	pres,1p,sg
.			
Я	я	SPRO	1p,nom,sg
заставил	заставить	V	past,m,sg
ее	она	SPRO	3p,f,acc,sg
повторить	повторить	V	inf
задание	задание	S	n,acc,sg
.			
Тут	тут	ADVPRO	
на	на	PR	
кухню	кухня	S	f,acc,sg
явилась	явиться	V	past,f,sg
Майка	Майк	S	m,gen,sg
.			
--			
А	а	CONJ	
вы	вы	SPRO	2p,nom,pl
разбудите	разбудить	V	imper,2p,pl
нас	мы	SPRO	1p,acc,pl
,			
если	если	CONJ	
новый	новый	A	sg,m,nom
цыпленок	цыпленок	S	m,nom,sg
выведется	вывестись	V	fut,3p,sg
?			
Но	но	CONJ	
на	на	PR	
этот	этот	APRO	m,acc,sg
раз	раз	S	m,acc,sg
его	его	APRO	
совсем	совсем	ADV	
не	не	PART	
было	быть	V	past,n,sg
.			
--			
Тартасов	Тартасов	S	m,nom,sg
хитрец	хитрец	S	m,nom,sg
.			
Как	как	CONJ	
все	все	SPRO	n,nom,sg
писатели	писатель	S	m,nom,pl
...	...	PR	
Таков	таков	APRO	m,nom,sg
их	они	SPRO	3p,acc,pl
удел	удел	S	m,nom,sg
.			
Стояли	стоять	V	past,pl
в	в	PR	
кружок	кружок	S	m,acc,sg
и	и	CONJ	
по-честному	по-честному	ADV	
рассуждали	рассуждать	V	past,pl
.			
Небо	небо	S	n,nom,sg
,			
в	в	PR	
которое	который	APRO	n,acc,sg
можно	можно	ADV	
глядеть	глядеть	V	inf
...	...	PR	
Задрав	задрать	V	ger,past
голову	голова	S	f,acc,sg
...	...	PR	
Идти	идти	V	inf
и	и	CONJ	
думать	думать	V	inf
о	о	PR	
синеве	синева	S	f,loc,sg
.			
Внеконфессиональное	внеконфессиональный	A	sg,n,nom
государство	государство	S	n,nom,sg
представляет	представлять	V	pres,3p,sg
собой	себя	SPRO	ins
государство	государство	S	n,nom,sg
,			
которое	который	APRO	n,nom,sg
сознательно	сознательно	ADV	
отстраняет	отстранять	V	pres,3p,sg
себя	себя	SPRO	acc
от	от	PR	
всего	все	SPRO	n,gen,sg
,			
что	что	CONJ	
происходит	происходить	V	pres,3p,sg
в	в	PR	
лоне	лоно	S	n,loc,sg
религии	религия	S	f,gen,sg
,			
позволяя	позволять	V	ger,pres
решать	решать	V	inf
эти	этот	APRO	acc,pl
вопросы	вопрос	S	m,acc,pl
гражданскому	гражданский	A	sg,m,dat
обществу	общество	S	n,dat,sg
.			
Неуведомление	неуведомление	S	n,nom,sg
или	или	CONJ	
несвоевременное	несвоевременный	A	sg,n,nom
уведомление	уведомление	S	n,nom,sg
об	об	PR	
указанных	указанный	A	pl,m,loc
обстоятельствах	обстоятельство	S	n,loc,pl
лишает	лишать	V	pres,3p,sg
Стороны	сторона	S	f,nom,pl
права	право	S	n,gen,sg
ссылаться	ссылаться	V	inf
на	на	PR	
любые	любой	APRO	acc,pl
из	из	PR	
этих	этот	APRO	gen,pl
обстоятельств	обстоятельство	S	n,gen,pl
и	и	CONJ	
не	не	PART	
освобождает	освобождать	V	pres,3p,sg
от	от	PR	
ответственности	ответственность	S	f,gen,sg
по	по	PR	
настоящему	настоящий	A	sg,m,dat
Договору	договор	S	m,dat,sg
.			
Президиум	президиум	S	m,nom,sg
Высшего	высший	A	sg,m,gen
Арбитражного	арбитражный	A	sg,m,gen
Суда	суд	S	m,gen,sg
РФ	РФ	S	f,gen,sg
в	в	PR	
информационном	информационный	A	sg,n,loc
письме	письмо	S	n,loc,sg
от	от	PR	
29	@card@		
сентября	сентябрь	S	m,gen,sg
1999	@card@		
г	год	S	m,gen,sg
.			
№			
48	@card@		
"			
О	о	PR	
некоторых	некоторый	APRO	loc,pl
вопросах	вопрос	S	m,loc,pl
судебной	судебный	A	sg,f,gen
практики	практика	S	f,gen,sg
,			
возникающих	возникать	V	partcp,act,pres,pl,gen
при	при	PR	
рассмотрении	рассмотрение	S	n,loc,sg
споров	спор	S	m,gen,pl
,			
связанных	связать	V	partcp,pass,past,pl,gen
с	с	PR	
договорами	договор	S	m,ins,pl
на	на	PR	
оказание	оказание	S	n,acc,sg
правовых	правовой	A	pl,m,gen
услуг	услуга	S	f,gen,pl
"			
,			
отметил	отметить	V	past,m,sg
,			
что	что	CONJ	
не	не	PART	
подлежат	подлежать	V	pres,3p,pl
удовлетворению	удовлетворение	S	n,dat,sg
требования	требование	S	n,acc,pl
исполнителя	исполнитель	S	m,gen,sg
о	о	PR	
выплате	выплата	S	f,loc,sg
вознаграждения	вознаграждение	S	n,gen,sg
,			
если	если	CONJ	
истец	истец	S	m,nom,sg
обосновывает	обосновывать	V	pres,3p,sg
их	они	SPRO	3p,acc,pl
условием	условие	S	n,ins,sg
договора	договор	S	m,gen,sg
,			
ставящим	ставить	V	partcp,act,pres,sg,n,ins
размер	размер	S	m,acc,sg
оплаты	оплата	S	f,gen,sg
услуг	услуга	S	f,gen,pl
в	в	PR	
зависимость	зависимость	S	f,acc,sg
от	от	PR	
решения	решение	S	n,gen,sg
суда	суд	S	m,gen,sg
или	или	CONJ	
государственного	государственный	A	sg,m,gen
органа	орган	S	m,gen,sg
,			
которое	который	APRO	n,nom,sg
будет	быть	V	fut,3p,sg
принято	принять	V	partcp,pass,past,sg,n,nom,brev
в	в	PR	
будущем	будущее	S	n,loc,sg
.			
После	после	PR	
произнесения	произнесения	S	n,gen,sg
речей	речь	S	f,gen,pl
всеми	весь	APRO	ins,pl
лицами	лицо	S	n,ins,pl
,			
участвующими	участвовать	V	partcp,act,pres,pl,ins
в	в	PR	
деле	дело	S	n,loc,sg
,			
их	их	APRO	
представителями	представитель	S	m,ins,pl
они	они	SPRO	3p,nom,pl
могут	мочь	V	pres,3p,pl
выступить	выступить	V	inf
с	с	PR	
репликами	реплика	S	f,ins,pl
в	в	PR	
связи	связь	S	f,loc,sg
со	со	PR	
сказанным	сказать	V	partcp,pass,past,sg,n,ins
.			
Протокол	протокол	S	m,nom,sg
судебного	судебный	A	sg,n,gen
заседания	заседание	S	n,gen,sg
или	или	CONJ	
совершенного	совершить	V	partcp,pass,past,sg,n,gen
вне	вне	PR	
судебного	судебный	A	sg,n,gen
заседания	заседание	S	n,gen,sg
отдельного	отдельный	A	sg,n,gen
процессуального	процессуальный	A	sg,n,gen
действия	действие	S	n,gen,sg
должен	должен	A	sg,m,nom,brev
отражать	отражать	V	inf
все	все	ADV	
существенные	существенный	A	pl,m,nom
